,,header_playing,header_performance,header_expected,header_progression,header_per90,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90
Sergio Reguilón,1.4,DF,28-138,3,0,123,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Dane Scarlett,0.4,"FW,MF",21-040,3,0,34,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.00,2.65,2.65,0.00,2.65,0.09,0.12,0.22,0.09,0.22,Matches
Alfie Dorrington,0.2,DF,20-013,1,0,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Will Lankshear,0.1,"FW,MF",20-013,3,0,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Oyindamola Ajayi,,FW,19-127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dante Cassanova,,DF,20-316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alfie Devine,,MF,20-275,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Malachi Hardy,,DF,17-054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Maeson King,,DF,19-236,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Yang Minhyeok,,MF,19-017,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Callum Olusesi,,MF,18-106,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alfie Whiteman,,GK,26-213,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luca Williams Barnett,,FW,16-214,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
